FirstName,LastName,Age,GPA,Father Name,Mother Name,Address,Phone Number, Date
Caroline,Holmes,5,2.39,Leonardo,Jasmine,Utah,2485283949,11/13/2020
Edwin,Crawford,3,2.47,Reid,Alisa,Ohio,8034022031,11/9/2019
Chloe,Reed,7,2.1,Alford,Alina,Illinois,2485328496,9/16/2021
Florrie,Farrell,8,1.76,Max,Alisa,Connecticut,6572009245,3/12/2019
Caroline,Ryan,9,2.48,Andrew,Vivian,Utah,6199885171,8/13/2021
Alan,Ellis,5,2.83,Clark,Sabrina,Connecticut,5074823159,4/14/2020
Elian,Adams,6,1.85,Kristian,Kimberly,Mississippi,3166514358,4/24/2021
Sabrina,Watson,4,1.92,Albert,Nicole,West Virginia,7126657908,7/12/2021
Amelia,Elliott,9,2.44,William,Tiana,Massachusetts,3214028364,9/18/2020
Alexander,Craig,5,2.11,Martin,Chloe,Washington,4193145821,11/12/2018
Miller,Wilson,8,3.43,Ashton,Anna,Hawaii,3194841747,6/10/2021
Camila,Brooks,6,2.82,Elian,Tara,Nebraska,2343124993,9/14/2016
Martin,Davis,4,3.12,Derek,Mary,West Virginia,5127582032,8/24/2019
Darcy,Bailey,7,2.41,Fenton,Agata,Alabama,2184292946,12/7/2020
Steven,Kelley,9,1.05,Ryan,Paige,Florida,4136766714,8/30/2019
Vivian,Perkins,8,0.96,Jared,Gianna,New Mexico,3852283837,7/17/2019
Byron,Harrison,13,3.9,Lenny,Jenna,Maine,5053679214,7/19/2019
Wilson,Robinson,4,1.59,Antony,Caroline,Nevada,2622537310,9/14/2016
Naomi,Anderson,5,3.82,Arthur,Lucy,New York,6089221111,8/24/2019
Alisa,Richardson,9,0.59,Alfred,Amy,Michigan,5189735865,12/7/2020
Maya,Thompson,5,3.36,Ryan,Amber,New Mexico,4309882741,8/30/2019
,,,,,,,,
,,,,,,,,
