FirstName,LastName,Age,GPA,Father Name, Mother Name,Address,PhoneNumber, Date
Leonardo,Cole,5,3.29,Arthur,Heather,Arizona,3015057620,8/16/2016
Marcus,Hawkins,4,1.53,Tony,Catherine,Louisiana,2028019936,9/26/2019
Alexander,Douglas,8,0.34,Kristian,Emma,New York,5075469926,7/2/2019
April,Baker,5,1.65,Tony,Maria,Delaware,2026996539,5/15/2019
George,Davis,7,3.05,Blake,Abigail,North Dakota,7729076965,6/23/2020
Lucy,Murray,9,1.34,James,Lydia,Kansas,8285994580,9/3/2020
Tess,Farrell,4,0.26,Nicholas,Rebecca,Oregon,5853679629,8/22/2019
Rubie,Carroll,7,1.34,Adrian,Kirsten,South Dakota,5807954676,6/12/2020
Haris,Mason,5,3.6,Lenny,Rubie,Nevada,2565703375,5/27/2021
Violet,Riley,6,2.98,Henry,Sarah,North Carolina,8484828050,9/14/2016
Spike,Carroll,9,1.22,Mike,Lucy,Arizona,2084275421,8/24/2019
Eric,Farrell,10,2.28,Alfred,Ada,Delaware,3013234714,12/7/2020
Miley,Nelson,3,1.5,Ned,Lily,Ohio,4849614365,8/30/2019
Brad,Johnston,8,3.52,Julian,Lily,Kansas,6622775855,7/17/2019
Lenny,Riley,5,3.96,Kellan,Jasmine,Pennsylvania,2282472875,7/19/2019
Aston,Davis,6,0.4,Antony,Chloe,New Jersey,4014793691,8/20/2020
Melanie,Howard,8,2.95,Daniel,Lucia,Mississippi,7704124521,9/19/2020
Tiana,Thompson,7,0.34,Alfred,Adrianna,Montana,3207265640,10/20/2020
Michael,Stevens,11,3.13,Roman,Evelyn,Illinois,3863303705,5/11/2021
